t_s,cmd_rad,act_rad,err_rad,vel_rads,torque_nm,temp_c
2e-06,0.0,0.127898,-0.127898,0.003525,-0.000214,24.0
0.022157,0.000147,0.128281,-0.128134,-0.057908,0.009613,24.0
0.042556,0.000543,0.10949,-0.108946,-1.392309,-0.40824,24.0
0.06303,0.001192,0.077659,-0.076467,-1.628977,0.086946,24.0
0.083618,0.002098,0.049663,-0.047566,-1.058961,0.169833,24.0
0.104062,0.003249,0.034323,-0.031075,-0.562463,0.028412,24.0
0.124516,0.004651,0.02627,-0.021619,-0.32076,-0.057038,24.0
0.144941,0.006302,0.01975,-0.013448,-0.34493,0.033539,24.0
0.165258,0.008193,0.015532,-0.007339,-0.114305,-0.002777,24.0
0.185616,0.010336,0.013231,-0.002895,-0.072007,-0.052338,24.0
0.205924,0.012721,0.01208,0.000641,-0.07805,-0.066865,24.0
0.226258,0.015357,0.011697,0.00366,0.009567,-0.029694,24.0
0.246566,0.018237,0.011697,0.006541,-0.024674,-0.001495,24.0
0.266815,0.021355,0.01208,0.009275,0.02266,0.035676,24.0
0.28712,0.024729,0.012847,0.011882,0.011582,0.121553,24.0
0.307532,0.028369,0.013614,0.014755,0.067979,0.097627,24.0
0.32785,0.03224,0.015532,0.016708,0.067979,0.095918,24.0
0.34822,0.036369,0.017449,0.01892,0.137469,0.161715,24.0
0.368447,0.040715,0.019367,0.021348,0.132433,0.177951,24.0
0.388801,0.045334,0.021668,0.023667,0.108263,0.214694,24.0
0.409136,0.050196,0.025119,0.025077,0.130419,0.110018,24.0
0.429495,0.055312,0.029338,0.025974,0.177752,0.102327,24.0
0.44972,0.060637,0.03394,0.026697,0.252277,0.033539,24.0
0.470079,0.066244,0.038925,0.027318,0.274434,0.028412,24.0
0.490464,0.072104,0.044294,0.02781,0.28954,0.042512,24.0
0.510908,0.078228,0.04928,0.028948,0.233143,0.068574,24.0
0.53145,0.08463,0.054265,0.030365,0.233143,0.071992,24.0
0.552087,0.091313,0.059251,0.032062,0.248249,0.145052,24.0
0.572558,0.098188,0.06462,0.033568,0.255299,0.14847,24.0
0.593754,0.105566,0.069989,0.035577,0.255299,0.120272,24.0
0.614194,0.112929,0.076508,0.036421,0.299611,0.093355,24.0
0.634567,0.120509,0.082644,0.037864,0.283497,0.101045,24.0
0.654943,0.12833,0.089931,0.038399,0.381186,0.039948,24.0
0.675537,0.136478,0.097601,0.038877,0.35903,0.074556,24.0
0.695939,0.144788,0.104504,0.040284,0.284504,0.153597,24.0
0.716235,0.153291,0.11064,0.042651,0.286519,0.144625,24.0
0.736728,0.162112,0.11831,0.043802,0.380179,0.098909,24.0
0.757117,0.171122,0.126364,0.044758,0.349966,0.091646,24.0
0.777585,0.180399,0.134417,0.045982,0.387228,0.098482,24.0
0.798074,0.189916,0.143621,0.046295,0.421469,0.05362,24.0
0.818366,0.199568,0.152058,0.04751,0.333852,0.187778,24.0
0.838789,0.209506,0.159728,0.049778,0.347951,0.206149,24.0
0.859093,0.219608,0.168549,0.051059,0.477867,0.090364,24.0
0.879419,0.229938,0.178136,0.051801,0.475853,0.102754,24.0
0.899656,0.240435,0.187724,0.052712,0.505058,0.115572,24.0
0.919972,0.251185,0.197695,0.05349,0.491966,0.159579,24.0
0.940328,0.262165,0.206899,0.055266,0.443626,0.14548,24.0
0.96062,0.273315,0.216486,0.056828,0.50103,0.108736,24.0
0.980871,0.284641,0.227224,0.057417,0.543328,0.150607,24.0
1.001111,0.296157,0.238346,0.057812,0.474846,0.164706,24.0
1.021436,0.307914,0.2487,0.059214,0.483909,0.151461,24.0
1.041779,0.319869,0.259055,0.060814,0.595697,0.120272,24.0
1.062025,0.331949,0.269793,0.062156,0.61181,0.152316,24.0
1.082342,0.34425,0.281682,0.062568,0.564477,0.165133,24.0
1.102722,0.356761,0.292803,0.063958,0.513115,0.198032,24.0
1.123081,0.369428,0.303925,0.065503,0.568505,0.151034,24.0
1.143388,0.382223,0.315813,0.06641,0.551385,0.182223,24.0
1.163675,0.39516,0.328469,0.066691,0.522179,0.173251,24.0
1.183894,0.4082,0.339974,0.068226,0.569512,0.227939,24.0
1.204203,0.421439,0.352246,0.069193,0.608789,0.168551,24.0
1.224605,0.434873,0.365285,0.069588,0.652094,0.185641,24.0
1.244999,0.448429,0.37794,0.070489,0.608789,0.223667,24.0
1.265334,0.462064,0.390596,0.071468,0.70547,0.186069,24.0
1.285715,0.47584,0.403251,0.072589,0.622889,0.238193,24.0
1.30612,0.489735,0.417057,0.072677,0.652094,0.189487,24.0
1.326607,0.503777,0.430096,0.073681,0.602747,0.240757,24.0
1.346927,0.517788,0.443519,0.074269,0.669215,0.164279,24.0
1.367216,0.53185,0.456941,0.074909,0.6813,0.268101,24.0
1.387641,0.546069,0.470748,0.075321,0.608789,0.237766,24.0
1.408169,0.560411,0.48417,0.076241,0.649073,0.19675,24.0
1.428707,0.574801,0.497976,0.076825,0.668208,0.273655,24.0
1.449411,0.589337,0.512549,0.076787,0.672236,0.22623,24.0
1.47001,0.603815,0.526355,0.07746,0.662165,0.242039,24.0
1.490725,0.618379,0.540545,0.077834,0.700435,0.233066,24.0
1.511284,0.632823,0.555118,0.077705,0.723598,0.236912,24.0
1.532081,0.64741,0.568924,0.078486,0.703456,0.277073,24.0
1.55301,0.662051,0.583113,0.078938,0.717556,0.246738,24.0
1.574042,0.676708,0.598453,0.078255,0.716548,0.243748,24.0
1.594981,0.69123,0.612643,0.078587,0.659144,0.293736,24.0
1.615732,0.705534,0.626832,0.078702,0.673243,0.255283,24.0
1.63643,0.719701,0.641789,0.077911,0.71252,0.248875,24.0
1.657222,0.733811,0.655979,0.077833,0.604761,0.312535,24.0
1.677883,0.747697,0.670168,0.077529,0.654108,0.269383,24.0
1.698509,0.761406,0.684358,0.077049,0.627924,0.327916,24.0
1.719037,0.774881,0.698547,0.076334,0.71252,0.298863,24.0
1.739453,0.788096,0.71197,0.076126,0.637995,0.247166,24.0
1.760011,0.801196,0.726159,0.075037,0.702449,0.330053,24.0
1.780829,0.814232,0.739965,0.074267,0.621881,0.274083,24.0
1.801539,0.826951,0.753004,0.073947,0.602747,0.280491,24.0
1.821991,0.839246,0.766427,0.072819,0.6813,0.300999,24.0
1.842404,0.851236,0.779849,0.071386,0.608789,0.270237,24.0
1.862721,0.862869,0.792121,0.070748,0.627924,0.329625,24.0
1.88303,0.874178,0.804393,0.069785,0.595697,0.288609,24.0
1.90342,0.88519,0.817432,0.067757,0.676265,0.326635,24.0
1.923782,0.895824,0.829705,0.066119,0.520165,0.314244,24.0
1.944033,0.906018,0.840826,0.065192,0.503044,0.357824,24.0
1.964272,0.915806,0.851948,0.063858,0.515129,0.333043,24.0
1.985133,0.925452,0.863453,0.061999,0.492973,0.367651,24.0
2.006037,0.934644,0.874574,0.06007,0.392264,0.350134,24.0
2.026736,0.943254,0.884929,0.058326,0.444633,0.333043,24.0
2.047459,0.951362,0.8949,0.056462,0.440604,0.306981,24.0
2.068525,0.959053,0.905254,0.053798,0.550378,0.332189,24.0
2.089274,0.966061,0.915225,0.050836,0.446647,0.329198,24.0
2.11007,0.972496,0.922512,0.049985,0.305653,0.420203,24.0
2.130889,0.978324,0.931332,0.046992,0.465782,0.27921,24.0
2.151744,0.983521,0.939386,0.044135,0.402335,0.333898,24.0
2.172688,0.988069,0.947056,0.041014,0.349966,0.356115,24.0
2.19362,0.99192,0.954342,0.037578,0.278462,0.315526,24.0
2.21425,0.995012,0.960095,0.034917,0.197894,0.340307,24.0
2.234701,0.997364,0.964313,0.03305,0.145525,0.448829,24.0
2.255061,0.998978,0.968532,0.030446,0.305653,0.397131,24.0
2.275731,0.999854,0.973134,0.02672,0.256306,0.370214,24.0
2.296355,0.999938,0.977352,0.022585,0.155596,0.296727,24.0
2.316709,0.999226,0.98042,0.018806,0.127398,0.311254,24.0
2.337128,0.997699,0.983105,0.014594,0.094163,0.296727,24.0
2.357592,0.995331,0.985022,0.010308,0.121355,0.27451,24.0
2.378134,0.99209,0.985406,0.006684,0.020645,0.315953,24.0
2.398678,0.987965,0.985406,0.002559,0.02266,0.313817,24.0
2.419309,0.982914,0.985406,-0.002492,-0.037766,0.264683,24.0
2.439782,0.976984,0.984639,-0.007655,-0.047837,0.143771,24.0
2.460179,0.97015,0.983488,-0.013339,-0.025681,0.073701,24.0
2.481041,0.962188,0.981187,-0.019,-0.145525,0.130098,24.0
2.501701,0.953318,0.976969,-0.023651,-0.193866,0.170687,24.0
2.522241,0.943515,0.972367,-0.028852,-0.196887,0.147616,24.0
2.542717,0.932751,0.965847,-0.033096,-0.363058,0.206149,24.0
2.563343,0.920897,0.958177,-0.037281,-0.398306,0.268528,24.0
2.584201,0.907865,0.950124,-0.042258,-0.340902,0.138216,24.0
2.60512,0.893733,0.94092,-0.047187,-0.461753,0.151888,24.0
2.625917,0.878618,0.930565,-0.051947,-0.420462,0.215549,24.0
