t_s,cmd_rad,act_rad,err_rad,vel_rads,torque_nm,temp_c
2e-06,0.0,-0.002493,0.002493,0.00856,0.003204,26.0
0.02046,0.000126,-0.002493,0.002618,0.004532,0.001068,26.0
0.040904,0.000502,-0.002493,0.002995,0.090135,0.00705,26.0
0.061438,0.001132,-0.002109,0.003242,-0.032731,0.05362,26.0
0.082011,0.002018,-0.002109,0.004127,0.010575,0.049775,26.0
0.102787,0.00317,-0.001726,0.004895,0.013596,0.056184,26.0
0.124389,0.004642,-0.001726,0.006368,-0.040787,0.07541,26.0
0.144845,0.006294,-0.001342,0.007636,-0.044816,0.083101,26.0
0.165357,0.008203,-0.000959,0.009162,-0.023667,0.0878,26.0
0.185702,0.010345,-0.000192,0.010537,0.090135,0.144198,26.0
0.20596,0.012725,0.000575,0.01215,0.074022,0.139071,26.0
0.226671,0.015413,0.001726,0.013687,0.025681,0.153597,26.0
0.247189,0.01833,0.002876,0.015453,0.088121,0.14847,26.0
0.267642,0.021488,0.004794,0.016694,0.113298,0.16556,26.0
0.288305,0.024933,0.006711,0.018222,0.069993,0.133944,26.0
0.309175,0.028673,0.009012,0.019661,0.096178,0.146334,26.0
0.330144,0.032693,0.011697,0.020996,0.110277,0.138216,26.0
0.351018,0.036956,0.015148,0.021807,0.159625,0.092073,26.0
0.371592,0.041412,0.018216,0.023196,0.16466,0.15317,26.0
0.39222,0.046134,0.020901,0.025234,0.187823,0.196323,26.0
0.41282,0.051104,0.024352,0.026752,0.181781,0.212985,26.0
0.43346,0.056336,0.02742,0.028916,0.14049,0.257847,26.0
0.453809,0.061743,0.031255,0.030488,0.193866,0.227512,26.0
0.474305,0.067438,0.035857,0.031581,0.273426,0.204868,26.0
0.495031,0.073451,0.040459,0.032991,0.244221,0.215122,26.0
0.515639,0.07968,0.045445,0.034236,0.239185,0.244602,26.0
0.536113,0.086118,0.05043,0.035688,0.281483,0.24332,26.0
0.556757,0.092859,0.055416,0.037444,0.230121,0.307408,26.0
0.577424,0.099859,0.060785,0.039074,0.28249,0.275364,26.0
0.598212,0.107151,0.06577,0.041381,0.210986,0.302708,26.0
0.619159,0.114754,0.071523,0.043231,0.287526,0.327062,26.0
0.640315,0.122691,0.077659,0.045032,0.264363,0.357397,26.0
0.661052,0.130722,0.083795,0.046927,0.283497,0.34287,26.0
0.681503,0.138884,0.090314,0.048569,0.341909,0.417639,26.0
0.701961,0.147287,0.096834,0.050453,0.337881,0.491554,26.0
0.722341,0.155894,0.103737,0.052157,0.307668,0.424475,26.0
0.742857,0.164796,0.11064,0.054156,0.334859,0.422766,26.0
0.763755,0.174105,0.117927,0.056178,0.323781,0.471046,26.0
0.784485,0.183578,0.125597,0.057981,0.367086,0.517189,26.0
0.805024,0.193197,0.133267,0.05993,0.432547,0.565042,26.0
0.826437,0.203469,0.141704,0.061765,0.396292,0.568032,26.0
0.84676,0.213446,0.150141,0.063305,0.374136,0.517189,26.0
0.86706,0.223631,0.158578,0.065053,0.452689,0.581277,26.0
0.887358,0.234031,0.167015,0.067016,0.387228,0.637675,26.0
0.907739,0.244687,0.175452,0.069236,0.419455,0.65861,26.0
0.928125,0.255558,0.184272,0.071286,0.442618,0.71458,26.0
0.948389,0.26657,0.19386,0.07271,0.43859,0.695781,26.0
0.968807,0.27787,0.203064,0.074806,0.446647,0.713298,26.0
0.989721,0.289653,0.212651,0.077002,0.53225,0.739788,26.0
1.010393,0.301502,0.222622,0.07888,0.485924,0.784222,26.0
1.031009,0.313516,0.232977,0.080539,0.489952,0.80473,26.0
1.051657,0.325741,0.242948,0.082793,0.473838,0.781231,26.0
1.072188,0.33808,0.253686,0.084394,0.559442,0.856855,26.0
1.09246,0.35044,0.26404,0.086399,0.465782,0.911116,26.0
1.112768,0.362991,0.274779,0.088212,0.53225,0.990585,26.0
1.133047,0.375688,0.285517,0.090171,0.557427,0.943587,26.0
1.153274,0.388508,0.296638,0.09187,0.572534,0.966659,26.0
1.173554,0.401514,0.30776,0.093754,0.531243,1.029465,26.0
1.194247,0.414932,0.319265,0.095667,0.592676,1.083299,26.0
1.21524,0.42869,0.331153,0.097537,0.535271,1.080735,26.0
1.236251,0.442599,0.343042,0.099557,0.5393,1.14696,26.0
1.257344,0.456693,0.355314,0.101379,0.61886,1.117479,26.0
1.278116,0.470691,0.367586,0.103105,0.656123,1.221729,26.0
1.298703,0.484673,0.379858,0.104815,0.579583,1.218311,26.0
1.319365,0.498803,0.39213,0.106673,0.527214,1.246937,26.0
1.340156,0.513111,0.404785,0.108326,0.633967,1.323415,26.0
1.360946,0.527498,0.417441,0.110057,0.595697,1.420829,26.0
1.3817,0.541927,0.43048,0.111447,0.65008,1.331106,26.0
1.402604,0.556518,0.443519,0.112999,0.605768,1.362722,26.0
1.423721,0.571304,0.456558,0.114746,0.632959,1.464408,26.0
1.444771,0.586077,0.469597,0.11648,0.634974,1.456291,26.0
1.465938,0.600952,0.483403,0.117549,0.699428,1.471244,26.0
1.486529,0.615429,0.496826,0.118604,0.623896,1.593011,26.0
1.507232,0.629978,0.509865,0.120113,0.64303,1.566949,26.0
1.527913,0.644489,0.522904,0.121586,0.637995,1.629328,26.0
1.548487,0.658891,0.536326,0.122565,0.637995,1.615229,26.0
1.569229,0.67336,0.549749,0.123611,0.639002,1.704097,26.0
1.590171,0.687901,0.563171,0.12473,0.608789,1.696834,26.0
1.611173,0.7024,0.576594,0.125806,0.637995,1.745113,26.0
1.632291,0.716877,0.5904,0.126477,0.605768,1.798947,26.0
1.653494,0.731291,0.603822,0.127469,0.580591,1.808347,26.0
1.674518,0.745446,0.618012,0.127434,0.683314,1.768185,26.0
1.695245,0.759248,0.630667,0.12858,0.597711,1.942077,26.0
1.715677,0.772687,0.64409,0.128597,0.619867,1.877989,26.0
1.736101,0.785939,0.656746,0.129194,0.579583,1.988647,26.0
1.756455,0.798946,0.669785,0.129161,0.655116,1.949767,26.0
1.776867,0.81177,0.682057,0.129714,0.547356,2.058289,26.0
1.797314,0.824377,0.694712,0.129665,0.569512,1.986511,26.0
1.818084,0.836918,0.706984,0.129934,0.612818,2.082643,26.0
1.838731,0.8491,0.71964,0.129461,0.646052,2.077943,26.0
1.859328,0.860948,0.731912,0.129036,0.502037,2.142031,26.0
1.880157,0.872598,0.7438,0.128798,0.629938,2.115969,26.0
1.900641,0.88371,0.755305,0.128405,0.598718,2.161685,26.0
1.921011,0.894399,0.76681,0.127588,0.61181,2.200137,26.0
1.941259,0.904645,0.777932,0.126713,0.477867,2.211673,26.0
1.961628,0.914551,0.78867,0.125881,0.55642,2.240299,26.0
1.982013,0.924038,0.799024,0.125014,0.478874,2.281315,26.0
2.002564,0.93315,0.808995,0.124155,0.57052,2.293278,26.0
2.023443,0.941918,0.81935,0.122568,0.518151,2.297124,26.0
2.044493,0.950234,0.828938,0.121296,0.408377,2.280461,26.0
2.065711,0.958059,0.838525,0.119533,0.395285,2.28986,26.0
2.086704,0.965224,0.847729,0.117495,0.388235,2.339849,26.0
2.107372,0.971695,0.855783,0.115913,0.363058,2.4206,26.0
2.127744,0.977484,0.863453,0.114031,0.386221,2.427436,26.0
2.148097,0.982659,0.870739,0.11192,0.305653,2.358648,26.0
2.168385,0.987191,0.877642,0.109549,0.314717,2.405219,26.0
2.188887,0.991112,0.884162,0.10695,0.360037,2.377874,26.0
2.209446,0.994355,0.890681,0.103674,0.255299,2.36762,26.0
2.230572,0.996947,0.89605,0.100897,0.253285,2.392828,26.0
2.251432,0.998745,0.901036,0.097709,0.262348,2.486397,26.0
2.27228,0.999762,0.904487,0.095275,0.100206,2.479133,26.0
2.293285,0.999976,0.907555,0.092421,0.122362,2.519295,26.0
2.313948,0.99937,0.909473,0.089897,0.066972,2.533822,26.0
2.334445,0.997947,0.910623,0.087324,0.044816,2.535103,26.0
2.354961,0.995683,0.911007,0.084676,0.012589,2.635508,26.0
2.375514,0.992552,0.911007,0.081545,0.019638,2.603037,26.0
2.396194,0.988511,0.911007,0.077505,0.001511,2.558602,26.0
2.417304,0.983446,0.911007,0.072439,0.041794,2.45478,26.0
2.438239,0.977463,0.910623,0.06684,-0.044816,2.379156,26.0
2.459334,0.970452,0.91024,0.060212,-0.004532,2.310369,26.0
2.480195,0.96253,0.909473,0.053057,0.024674,2.215946,26.0
2.500945,0.95366,0.907555,0.046105,-0.15761,2.133059,26.0
2.521475,0.943898,0.905254,0.038644,-0.149554,2.013001,26.0
2.541761,0.933276,0.901036,0.03224,-0.165667,2.015991,26.0
2.562219,0.921569,0.895667,0.025903,-0.222065,1.957885,26.0
2.582652,0.90887,0.88838,0.020489,-0.391257,2.024537,26.0
2.603251,0.895038,0.87956,0.015479,-0.483909,2.015991,26.0
2.62419,0.879914,0.869589,0.010325,-0.486931,2.091188,26.0
